instance,total_request,my_served,my_dropped,my_makespan,served_benchmark,dropped_benchmark,makespan_benchmark
6.5.1,6,6,0,699.683,6,0,718.093
6.5.2,6,6,0,582.003,6,0,550.722
6.5.3,6,6,0,766.793,6,0,873.127
6.5.4,6,6,0,579.974,5,1,653.412
6.10.1,6,5,1,1058.958,5,1,1078.748
6.10.2,6,6,0,1292.241,5,1,1246.022
6.10.3,6,5,1,1394.170,5,1,1295.786
6.10.4,6,6,0,1071.996,6,0,1273.344
6.20.1,6,6,0,4486.755,5,1,3931.916
6.20.2,6,4,2,3919.788,6,0,4099.788
6.20.3,6,5,1,6233.286,5,1,5802.035
6.20.4,6,5,1,5994.786,5,1,5985.211
10.5.1,10,10,0,1353.680,7,3,906.618
10.5.2,10,10,0,793.126,10,0,793.126
10.5.3,10,8,2,750.952,9,1,775.691
10.5.4,10,10,0,1017.534,8,2,603.830
10.10.1,10,8,2,1680.127,6,4,1735.950
10.10.2,10,8,2,1693.124,8,2,2060.535
10.10.3,10,7,3,1818.167,8,2,1818.150
10.10.4,10,10,0,1359.683,7,3,1418.970
10.20.1,10,9,1,5558.067,9,1,4891.118
10.20.2,10,7,3,6793.407,9,1,6876.841
10.20.3,10,10,0,6468.994,9,1,6282.694
10.20.4,10,9,1,6289.043,9,1,6459.934
20.5.1,20,19,1,680.137,15,5,626.004
20.5.2,20,20,0,859.033,16,4,711.960
20.5.3,20,20,0,588.889,8,12,437.349
20.5.4,20,20,0,685.412,14,6,586.442
20.10.1,20,18,2,1545.307,11,9,1412.389
20.10.2,20,17,3,1429.633,5,15,491.106
20.10.3,20,17,3,1539.399,12,8,1065.182
20.10.4,20,19,1,1317.404,16,4,1116.663
20.20.1,20,19,1,4376.062,18,2,4375.996
20.20.2,20,19,1,3934.293,14,6,4041.312
20.20.3,20,17,3,5506.038,13,7,5430.717
20.20.4,20,15,5,4370.419,15,5,4371.301
50.10.1,50,43,7,2111.349,30,20,1915.432
50.10.2,50,36,14,1634.315,26,24,1541.241
50.10.3,50,35,15,1771.075,17,33,1300.761
50.10.4,50,38,12,1644.668,18,32,1443.854
50.20.1,50,40,10,4214.265,26,24,4244.896
50.20.2,50,45,5,4136.083,22,28,4283.049
50.20.3,50,40,10,4423.784,30,20,4611.145
50.20.4,50,44,6,5559.539,39,11,5416.529
50.30.1,50,47,3,8873.872,13,37,8528.307
50.30.2,50,48,2,8033.833,19,31,7749.057
50.30.3,50,48,2,8728.103,18,32,8596.887
50.30.4,50,46,4,8631.661,10,40,8547.897
50.40.1,50,42,8,14297.635,29,21,12455.692
50.40.2,50,38,12,14296.635,12,38,13396.751
50.40.3,50,40,10,13000.061,21,29,11929.525
50.40.4,50,46,4,13061.602,21,29,10976.179
100.10.1,100,70,30,1849.003,36,64,1684.266
100.10.2,100,79,21,2045.845,40,60,1674.163
100.10.3,100,73,27,1939.734,39,61,1336.881
100.10.4,100,74,26,1909.215,42,58,1650.178
100.20.1,100,89,11,4386.774,3,97,944.954
100.20.2,100,88,12,4111.756,4,96,2152.919
100.20.3,100,72,28,5316.881,3,96,1755.003
100.20.4,100,72,28,4420.154,47,53,4622.249
100.30.1,100,75,25,8980.407,22,78,8716.837
100.30.2,100,89,11,8885.425,9,91,2652.175
100.30.3,100,75,25,8935.568,36,64,8860.024
100.30.4,100,76,24,9031.042,4,96,2830.581
100.40.1,100,74,26,14894.838,4,96,2721.186
100.40.2,100,84,16,15243.965,3,97,2783.891
100.40.3,100,76,24,15298.644,7,93,3935.230
100.40.4,100,78,22,14733.019,5,95,2888.554
